token,surprisal
 the,3.783017158508301
 event,6.083080768585205
 of,1.3701636791229248
 any,4.8068718910217285
 discrepancy,8.466352462768555
 between,1.1783380508422852
 the,0.9741257429122925
 English,11.357827186584473
 version,3.2629075050354004
 of,1.7528024911880493
 this,3.2072532176971436
 Code,12.659080505371094
 of,2.129101037979126
 Conduct,0.539893388748169
",",4.317505836486816
 or,2.2602427005767822
 any,2.7783515453338623
 other,1.9040188789367676
 Fat,20.580236434936523
ima,2.66194748878479
 Fellowship,16.867382049560547
 material,8.621185302734375
",",0.9670218825340271
 and,5.489848613739014
 a,6.37441873550415
 translated,6.64549446105957
 version,0.6669411659240723
",",1.7806739807128906
 the,2.00490140914917
 English,3.3064637184143066
 version,0.9692269563674927
 shall,3.533830165863037
 prevail,5.735062599182129
