token,surprisal
 the,3.692044734954834
 Tet,15.60418701171875
zel,11.029150009155273
 writings,17.164215087890625
 came,5.33695125579834
 off,9.63370418548584
 press,12.350878715515137
 and,4.360713481903076
 were,4.529851913452148
 distributed,7.332676887512207
",",3.0917463302612305
 students,9.77715015411377
 at,4.488208293914795
 W,9.464217185974121
itten,4.5159430503845215
berg,0.015368416905403137
 collected,12.111151695251465
 a,4.739504337310791
 large,4.336823463439941
 quantity,4.081162929534912
 and,6.0330657958984375
 held,8.15504264831543
 a,2.5754616260528564
 public,5.400826454162598
 bon,14.569643020629883
fire,0.04814988747239113
.,2.835918426513672
