token,surprisal
 compensation,15.747303009033203
 is,2.1693809032440186
 payable,5.973860740661621
 by,4.811334133148193
 the,1.6253057718276978
 United,7.80502462387085
 Nations,4.560654640197754
 for,3.2351443767547607
 non,7.50977087020874
-,0.5013507604598999
economic,8.526571273803711
 loss,5.595798492431641
",",4.67624044418335
 such,5.336669445037842
 as,0.14663437008857727
 pain,10.041027069091797
 and,1.6010148525238037
 suffering,0.057549748569726944
 or,4.265676975250244
 moral,12.266407012939453
 anguish,6.911604881286621
",",2.1029813289642334
 as,3.8908910751342773
 well,2.5110042095184326
 as,0.00672348216176033
 punitive,8.239555358886719
 or,4.279230117797852
 moral,9.353461265563965
 damages,2.253206968307495
;,5.989968776702881
