token,surprisal
ored,11.752906799316406
 cards,10.4354829788208
 involve,15.440032005310059
 essentially,12.975218772888184
 no,5.088848114013672
 additional,6.9767303466796875
 cost,3.298330783843994
 to,2.361015558242798
 the,1.6976908445358276
 course,14.601494789123535
 and,3.690757989883423
 are,2.2137484550476074
 easily,6.066868305206299
 transported,8.431845664978027
 to,2.0080270767211914
 settings,13.845561981201172
 where,2.4224894046783447
 this,9.609601974487305
 activity,8.253081321716309
 might,6.096909523010254
 be,1.6379555463790894
 scheduled,11.588115692138672
