token,surprisal
 differential,17.50638198852539
 algebra,13.965968132019043
ic,3.171039581298828
 equation,4.3887763023376465
 (,3.5773513317108154
DA,7.102358818054199
E,1.9865199327468872
),0.667421281337738
 is,2.6170177459716797
 a,2.6846683025360107
 differential,5.802735805511475
 equation,1.3230081796646118
 comprising,9.715862274169922
 differential,7.837582111358643
 and,6.533865928649902
 algebra,6.5597357749938965
ic,0.030742866918444633
 terms,6.158501148223877
",",3.2752249240875244
 given,9.063315391540527
 in,4.874345302581787
 implicit,14.56484603881836
 form,6.608774662017822
.,1.973219633102417
