token,surprisal
 guess,12.917165756225586
 I,2.489326000213623
 should,4.135051250457764
 have,2.3918161392211914
 known,4.304213047027588
 that,3.0069971084594727
 this,4.825672149658203
 place,7.511551856994629
 would,2.555567502975464
 suck,9.542332649230957
",",3.4838707447052
 because,4.052679538726807
 it,2.5534162521362305
 is,3.7025043964385986
 inside,11.180224418640137
 of,2.242889404296875
 the,2.7981815338134766
 Ex,14.065533638000488
cal,3.9337546825408936
ibur,0.003130813129246235
",",4.042388916015625
 but,2.9087798595428467
 I,1.729233980178833
 didn,3.711695671081543
't,0.0015318886144086719
 use,9.350110054016113
 my,3.364861249923706
 common,14.04819393157959
 sense,0.783808171749115
.,1.6297656297683716
