token,surprisal
 these,9.535378456115723
 initiatives,10.983699798583984
 take,8.02877140045166
 hold,9.28036880493164
 as,4.884548664093018
 they,5.504489421844482
 do,4.207014083862305
",",4.205531120300293
 from,8.163495063781738
 lead,13.7166748046875
 pipes,9.918094635009766
 being,6.939366340637207
 removed,6.01416540145874
 from,2.3035807609558105
 schools,5.743156909942627
 and,2.7042951583862305
 homes,6.825559139251709
",",2.7693095207214355
 to,0.4293743371963501
 new,5.5184431076049805
 factories,10.05098819732666
 being,2.4341378211975098
 built,0.7594101428985596
 in,2.478199005126953
 communities,8.019107818603516
 with,5.26190185546875
 a,4.812652587890625
 resurgence,14.485011100769043
 of,0.84600430727005
 American,10.394343376159668
 manufacturing,1.281122088432312
.,1.1618942022323608
