token,surprisal
 travel,13.982073783874512
 can,7.611752986907959
 be,0.9889749884605408
 arranged,4.687155723571777
 by,2.9087350368499756
 clients,13.959278106689453
 per,9.264823913574219
 specifications,14.348684310913086
 of,3.986747980117798
 Consult,15.355327606201172
ant,1.439043402671814
 or,5.421622276306152
 arranged,12.191231727600098
 by,0.7324171662330627
 Consult,8.687559127807617
ant,0.13556747138500214
 with,6.420717716217041
 agreement,10.159832000732422
 of,1.0550907850265503
 payment,11.670809745788574
 inv,14.268274307250977
o,0.06462153047323227
iced,4.651632785797119
.,3.3963348865509033
