token,surprisal
rag,13.494465827941895
l,8.929280281066895
ott,7.036070823669434
al,10.573436737060547
 pressure,13.737808227539062
",",3.6158509254455566
 with,6.390315055847168
 no,6.259461879730225
 const,12.134322166442871
rict,4.447815418243408
ions,2.175049304962158
 or,3.61326003074646
 artic,12.99577808380127
ulations,1.727207899093628
",",2.2798960208892822
 is,3.4610440731048584
 equal,9.754804611206055
 to,0.11082081496715546
 about,5.453049182891846
 atmospheric,18.09191131591797
 pressure,0.5838503837585449
.,1.9373688697814941
