token,surprisal
 the,3.783017158508301
 two,8.643634796142578
-,3.583845376968384
step,8.37203311920166
 process,0.7446789145469666
 the,7.433000087738037
 light,11.252925872802734
-,5.808958053588867
sensitive,4.403757572174072
 film,8.070009231567383
 captures,9.47391414642334
 a,3.6469783782958984
 negative,10.559532165527344
 image,3.944525957107544
 (,4.984715938568115
col,11.495652198791504
ors,0.9213579297065735
 and,4.423458099365234
 lights,7.873124122619629
/,9.80230712890625
d,8.401779174804688
arks,4.155664920806885
 are,8.57692813873291
 inverted,9.600935935974121
).,2.6284167766571045
