token,surprisal
ug,12.999969482421875
ene,0.14018619060516357
 O,8.761432647705078
�,20.15120506286621
�,9.117941856384277
C,9.839432716369629
urry,8.05595588684082
 wants,14.560440063476562
 to,0.7802079916000366
 establish,8.722453117370605
 that,6.50735330581665
 compositions,21.26631736755371
 of,2.828139543533325
 an,8.623148918151855
 older,8.315826416015625
 date,9.771292686462402
 than,9.72153377532959
 the,2.983856201171875
 tw,12.572473526000977
elfth,0.007960381917655468
 century,0.7428855299949646
 existed,10.327062606811523
 in,2.6842360496520996
 Ireland,6.319446563720703
 in,5.08324670791626
 the,1.7006326913833618
 tw,5.651467800140381
elfth,0.0001301967422477901
 century,0.21203041076660156
",",2.3002889156341553
 and,2.347844123840332
 thus,6.963301181793213
 he,5.002961158752441
 proceeds,10.740617752075195
.,7.825423240661621
