token,surprisal
 practice,12.565871238708496
",",0.2947256863117218
 however,5.428798198699951
",",0.006303673144429922
 loops,18.469791412353516
 allow,7.612536907196045
 redundancy,14.519274711608887
 –,8.513359069824219
 if,5.1683669090271
 one,3.803086280822754
 link,10.732904434204102
 breaks,6.754362106323242
 there,10.84318733215332
 is,1.5997258424758911
 still,6.664632797241211
 100,11.559930801391602
%,0.6044943928718567
 connectivity,9.403973579406738
 –,5.635402202606201
 and,1.7044801712036133
 so,5.161980628967285
 can,5.627779006958008
 be,1.1206128597259521
 desirable,11.131473541259766
.,2.0531504154205322
