token,surprisal
'm,7.907534122467041
 not,2.6310651302337646
 sure,2.1340181827545166
 how,2.9122207164764404
 long,4.4114789962768555
 we,4.9743804931640625
 stood,13.406915664672852
 there,2.8039307594299316
 but,6.874634742736816
 it,2.4233903884887695
 was,1.358015537261963
 long,6.110685348510742
 enough,0.5784351825714111
 for,2.007092237472534
 me,2.516777515411377
 to,0.15636105835437775
 begin,7.997622966766357
 to,1.2067031860351562
 feel,3.0578105449676514
 awkwardly,16.61395263671875
 out,8.71580696105957
 of,0.13622424006462097
 place,0.567623496055603
.,1.3447396755218506
