token,surprisal
'm,7.907534122467041
 told,8.784873962402344
 the,3.3069117069244385
 spectacle,16.148712158203125
 that,6.080044269561768
 is,4.814277648925781
 CES,18.365747451782227
 is,2.8609092235565186
 something,7.504492282867432
 that,1.8711905479431152
 has,4.284377574920654
 to,3.3386528491973877
 be,1.0941598415374756
 seen,4.06483268737793
 to,2.3346974849700928
 be,0.7861900329589844
 believed,0.07524765282869339
.,1.1406824588775635
 A,6.889057159423828
 technical,12.084476470947266
 extra,15.706856727600098
v,2.1404294967651367
agan,0.001803677179850638
za,0.0046254852786660194
 of,4.411376953125
 epic,8.755331039428711
 proportions,0.19262945652008057
.,3.063159704208374
 So,6.832921981811523
 what,4.348972320556641
 on,10.657564163208008
 earth,0.18482117354869843
",",6.110645294189453
 you,3.932206630706787
 may,6.797915458679199
 ask,1.445723533630371
",",1.6261177062988281
 may,8.870162963867188
 exc,12.201266288757324
ite,0.07477065175771713
 a,4.786068439483643
 self,10.42819595336914
-,0.06623704731464386
prof,4.969545841217041
essed,0.0021294262260198593
 techno,7.990396976470947
 inept,17.697572708129883
 enough,10.890987396240234
 to,0.1496996432542801
 venture,9.066367149353027
 forth,6.254031658172607
 into,2.116413116455078
 the,1.1855348348617554
 wild,5.071053981781006
s,2.0752809047698975
 of,0.5420350432395935
 the,1.9548977613449097
 world,5.039535045623779
's,3.7579238414764404
 largest,4.8200249671936035
 electronic,5.502444744110107
 m,12.400938987731934
osh,4.546703815460205
 pit,0.28759369254112244
?,1.3716530799865723
