token,surprisal
 ,12.014897346496582
 find,24.68136978149414
 the,3.5176684856414795
 derivative,17.300386428833008
 needed,12.132554054260254
 to,1.8162122964859009
 calculate,4.210111618041992
 the,0.9864738583564758
 price,7.544795513153076
 elastic,12.323196411132812
ities,4.418840408325195
",",2.8515210151672363
 the,3.7970330715179443
 procedure,9.928924560546875
 above,8.74573802947998
 first,9.878362655639648
 ,12.59196662902832
 took,14.054944038391113
 the,2.9389286041259766
 derivative,4.42063045501709
 of,2.1092119216918945
 the,0.9176055192947388
 inverse,8.336079597473145
 function,6.460594177246094
",",3.8738644123077393
 then,3.28216290473938
 inverted,12.12857723236084
 it,1.6510823965072632
 to,2.4410316944122314
 achieve,9.814431190490723
 d,11.567941665649414
Q,12.725215911865234
/,6.272481441497803
d,2.381368398666382
P,5.325407981872559
.,1.983132243156433
