token,surprisal
ap,12.352919578552246
 was,6.331000804901123
 rarely,12.241469383239746
 used,2.1477766036987305
",",3.6359703540802
 apart,11.346610069274902
 from,0.0342668779194355
 washing,11.189323425292969
 one,8.461956024169922
�,24.45993423461914
�,8.511199951171875
s,6.138149261474609
 clothes,3.4442923069000244
",",2.907947540283203
 and,2.2450623512268066
 they,8.144043922424316
 were,1.605285882949829
 made,7.00995397567749
 from,2.502518892288208
 wood,6.813279628753662
 ash,10.433419227600098
 l,14.39101791381836
ye,5.592451095581055
 to,6.095364570617676
 ,12.244348526000977
s,6.997368812561035
apon,5.162097930908203
ify,2.9627628326416016
 ,3.09482479095459
animal,9.812432289123535
 fat,5.1466522216796875
.,1.646206259727478
